smiles
[BH3-][P+]1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1
C(=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)\c1ccc(-c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1
